"iso_code","location","date","people_fully_vaccinated_per_hundred","stringency_index","population","population_density","median_age","gdp_per_capita"
"OWID_AFR","Africa",2022-01-08,9.56,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-09,9.59,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-10,9.74,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-11,9.75,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-12,9.76,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-13,9.82,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-14,9.84,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-15,9.95,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-16,9.97,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-17,10.05,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-18,10.11,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-19,10.2,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-20,10.22,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-21,10.32,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-22,10.34,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-23,10.38,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-24,10.42,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-25,10.43,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-26,10.46,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-27,10.59,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-28,10.64,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-29,10.67,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-30,10.75,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-01-31,10.77,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-01,10.78,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-02,10.85,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-03,10.86,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-04,10.89,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-05,10.91,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-06,11.04,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-07,11.06,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-08,11.08,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-09,11.14,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-10,11.26,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-11,11.32,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-12,11.33,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-13,11.34,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2022-02-14,11.36,NA,1373486472,NA,NA,NA
